ORIGIN,DESTINATION,TOTAL SEATS
Indonesia,Hong Kong,49188
Indonesia,Taiwan,19744
Mauritius,Turkey,1488
Mauritius,Madagascar,2161
Mauritius,Netherlands,1480
Mauritius,South Africa,5951
Mauritius,United Arab Emirates,8272
Mauritius,Tanzania,124
Mauritius,Singapore,1375
Mauritius,India,2595
Mauritius,Austria,620
Mauritius,France,7394
Mauritius,United Kingdom,3856
Mauritius,Australia,825
Mauritius,Seychelles,916
Mauritius,Germany,3204
Mauritius,Reunion,10667
Mauritius,China,1471
Mauritius,Hong Kong,550
Mauritius,Kenya,248
Trinidad and Tobago,Canada,2266
Trinidad and Tobago,Jamaica,462
Trinidad and Tobago,Curacao,444
Trinidad and Tobago,Panama,1438
Trinidad and Tobago,Guyana,3696
Trinidad and Tobago,United States,13476
Trinidad and Tobago,Grenada and South Grenadines,1972
Trinidad and Tobago,Antigua and Barbuda,836
Trinidad and Tobago,Suriname,1676
Trinidad and Tobago,Saint Vincent and Grenadines,1972
Trinidad and Tobago,Sint Maarten,462
Trinidad and Tobago,Venezuela,566
Trinidad and Tobago,Saint Lucia,1864
Trinidad and Tobago,Barbados,2977
Sweden,Turkey,6797
Sweden,Qatar,4064
Sweden,Italy,9602
Sweden,Czech Republic,3216
Sweden,India,1024
Sweden,Lithuania,3233
Sweden,Malta,1179
Sweden,France,11593
Sweden,Ethiopia,1620
Sweden,Ireland,1641
Sweden,Norway,30949
Sweden,Israel,372
Sweden,Lebanon,140
Sweden,Iran,1428
Sweden,Iceland,3127
Sweden,Montenegro,378
Sweden,Germany,44975
Sweden,Bosnia and Herzegovina,2782
Sweden,Belgium,8348
Sweden,Thailand,2912
Sweden,Hong Kong,1330
Sweden,Spain,25953
Sweden,Ukraine,1664
Sweden,Netherlands,18602
Sweden,Denmark,2577
Sweden,Poland,23825
Sweden,Finland,27325
Sweden,Macedonia,3638
Sweden,United States,6384
Sweden,Russian Federation,4780
Sweden,Latvia,5426
Sweden,Croatia,1323
Sweden,Luxembourg,532
Sweden,Switzerland,7833
Sweden,Bulgaria,567
Sweden,Romania,3986
Sweden,Portugal,3835
Sweden,Estonia,4307
Sweden,Morocco,1425
Sweden,Tunisia,179
Sweden,United Arab Emirates,4206
Sweden,Serbia,4168
Sweden,United Kingdom,38929
Sweden,Austria,2760
Sweden,China,1530
Sweden,Greece,4289
Sweden,Hungary,5306
Sweden,Cyprus,1632
Albania,Turkey,2320
Albania,Netherlands,676
Albania,Italy,29775
Albania,Serbia,476
Albania,France,378
Albania,United Kingdom,1650
Albania,Slovenia,940
Albania,Austria,2436
Albania,Germany,1918
Albania,Greece,1302
Albania,Belgium,634
Albania,Hungary,642
Namibia,Qatar,1560
Namibia,Angola,1856
Namibia,Saint Helena,101
Namibia,South Africa,10195
Namibia,Zambia,185
Namibia,Ethiopia,1350
Namibia,Zimbabwe,370
Namibia,Germany,2882
Namibia,Nigeria,560
Namibia,Botswana,560
Kenya,Turkey,2632
Kenya,Qatar,4336
